Index,Frequency (microHz),Amplitude (dB),Distance from central (samples)
18507,195.79695000,523.86287000,1704
18512,195.83634000,471.58810000,1709
18517,195.87573000,748.21626000,1714
18520,195.89936000,1261.94230000,1717
18522,195.91512000,537.64820000,1719
18524,195.93087000,1167.69730000,1721
18527,195.95450000,2108.73500000,1724
18533,196.00177000,1893.25080000,1730
18536,196.02540000,937.07741000,1733
18538,196.04116000,1722.82000000,1735
18540,196.05691000,881.26990000,1737
18543,196.08054000,5020.26960000,1740
18547,196.11205000,660.42949000,1744
18549,196.12781000,638.85509000,1746
18552,196.15144000,1424.35980000,1749
18554,196.16720000,479.93606000,1751
18558,196.19871000,738.11987000,1755
18564,196.24597000,406.35550000,1761
18590,196.45079000,387.31015000,1787
19072,200.24778000,505.28442000,2269
19074,200.26353000,611.99323000,2271
19121,200.63378000,391.90850000,2318
19123,200.64953000,637.91774000,2320
19127,200.68104000,673.67757000,2324
19353,202.46137000,528.39509000,2550
19362,202.53227000,383.21113000,2559
19371,202.60317000,391.19776000,2568
19374,202.62680000,498.65838000,2571
19386,202.72133000,599.20971000,2583
19388,202.73709000,692.75019000,2585
19390,202.75284000,1281.26020000,2587
19393,202.77648000,1039.39710000,2590
19395,202.79223000,1323.56580000,2592
19399,202.82374000,637.63628000,2596
19402,202.84738000,670.96689000,2599
19408,202.89464000,1009.89970000,2605
19411,202.91827000,1747.90550000,2608
19414,202.94191000,981.24387000,2611
19416,202.95766000,816.88856000,2613
19421,202.99705000,534.13922000,2618
19616,204.53317000,690.71025000,2813
19621,204.57256000,647.22873000,2818
19664,204.91130000,488.44265000,2861
19666,204.92705000,626.63031000,2863
19668,204.94281000,577.04518000,2865
20057,208.00718000,464.91480000,3254
20075,208.14898000,570.30402000,3272
20078,208.17261000,510.63525000,3275
20096,208.31441000,1191.95510000,3293
20281,209.77176000,489.31895000,3478
20283,209.78751000,541.38861000,3480
20287,209.81902000,628.77622000,3484
20289,209.83478000,457.23941000,3486
20297,209.89780000,702.55882000,3494
20300,209.92143000,712.98875000,3497
20304,209.95294000,532.85385000,3501
20314,210.03172000,486.32524000,3511
20321,210.08686000,542.21726000,3518
21230,217.24757000,493.89469000,4427
21235,217.28696000,530.69832000,4432
21245,217.36573000,432.23452000,4442
21855,222.17105000,472.15097000,5052
21890,222.44676000,424.97126000,5087
22039,223.62052000,455.86194000,5236
