Index,Frequency (microHz),Amplitude (dB),Distance from central (samples)
2819,122.72336000,2963.34730000,10
2821,122.73947000,983.29307000,12
2827,122.78782000,1626.35520000,18
2830,122.81200000,3414.27280000,21
2834,122.84423000,1111.72700000,25
2838,122.87647000,1926.19330000,29
2842,122.90870000,1171.09420000,33
2845,122.93288000,2315.54030000,36
2856,123.02152000,803.30927000,47
3021,124.35118000,808.67846000,212
3078,124.81052000,1056.50620000,269
3083,124.85081000,865.49300000,274
3139,125.30209000,813.52855000,330
3234,126.06765000,732.45894000,425
3267,126.33358000,884.58249000,458
3271,126.36581000,2281.90050000,462
3273,126.38193000,1275.41580000,464
3359,127.07496000,1303.08460000,550
3381,127.25225000,768.62505000,572
3394,127.35701000,1898.36310000,585
3398,127.38925000,5640.87280000,589
3401,127.41342000,4883.02040000,592
3403,127.42954000,7004.61950000,594
3405,127.44566000,5251.19300000,596
3410,127.48595000,1642.35800000,601
3453,127.83246000,663.45783000,644
3455,127.84858000,833.11790000,646
3465,127.92917000,696.89483000,656
3467,127.94528000,1133.82680000,658
3473,127.99364000,893.07589000,664
3479,128.04199000,7985.86140000,670
3481,128.05810000,9957.39220000,672
3485,128.09034000,3031.93770000,676
3487,128.10645000,11027.75700000,678
3490,128.13063000,2237.78950000,681
3493,128.15481000,2471.43930000,684
3524,128.40462000,934.42630000,715
3608,129.08154000,2568.73100000,799
3611,129.10571000,752.10352000,802
3614,129.12989000,1706.78210000,805
3861,131.12034000,1384.01500000,1052
3864,131.14452000,4264.00270000,1055
3884,131.30569000,783.40652000,1075
3886,131.32181000,1407.90430000,1077
3888,131.33793000,1091.82890000,1079
3892,131.37016000,756.58408000,1083
3895,131.39433000,1265.93790000,1086
3898,131.41851000,1866.32920000,1089
3902,131.45074000,2414.39990000,1093
3905,131.47492000,1433.84920000,1096
3908,131.49910000,2356.88860000,1099
3910,131.51521000,2107.66160000,1101
3919,131.58774000,2010.96850000,1110
3922,131.61192000,5259.29800000,1113
3982,132.09543000,828.28521000,1173
3998,132.22436000,1061.24240000,1189
4015,132.36136000,693.91375000,1206
4020,132.40165000,1293.45070000,1211
4022,132.41777000,2070.19100000,1213
4025,132.44194000,1207.75340000,1216
4027,132.45806000,940.98722000,1218
4029,132.47418000,1696.35820000,1220
4031,132.49030000,1743.98530000,1222
4035,132.52253000,3520.40080000,1226
4037,132.53865000,3542.79630000,1228
4039,132.55476000,4325.44960000,1230
4044,132.59506000,1874.86340000,1235
4047,132.61923000,1662.05600000,1238
4051,132.65147000,3143.04970000,1242
4055,132.68370000,1733.25320000,1246
4062,132.74011000,4986.87270000,1253
4065,132.76429000,1652.10410000,1256
4067,132.78040000,1900.67220000,1258
4074,132.83681000,3652.05840000,1265
4076,132.85293000,984.11176000,1267
4079,132.87710000,679.93656000,1270
4083,132.90934000,796.79625000,1274
4337,134.95621000,1009.14350000,1528
4585,136.95472000,778.81889000,1776
4590,136.99501000,2015.16700000,1781
4684,137.75252000,1739.06020000,1875
4692,137.81698000,749.57245000,1883
4694,137.83310000,4086.09040000,1885
4696,137.84922000,2002.24820000,1887
4698,137.86533000,3646.21070000,1889
4701,137.88951000,3697.86330000,1892
4703,137.90563000,1637.55100000,1894
4705,137.92174000,1392.85200000,1896
4709,137.95398000,751.00669000,1900
4712,137.97815000,2419.02590000,1903
4717,138.01845000,999.27932000,1908
4722,138.05874000,1024.18050000,1913
4812,138.78401000,2603.36590000,2003
4816,138.81624000,773.17167000,2007
5089,141.01622000,804.72896000,2280
5138,141.41109000,691.77002000,2329
5152,141.52391000,763.85803000,2343
5164,141.62061000,1181.02590000,2355
5168,141.65284000,3306.13170000,2359
5172,141.68508000,1847.59150000,2363
5176,141.71731000,1020.22700000,2367
5214,142.02354000,965.67101000,2405
5288,142.61987000,685.57875000,2479
5291,142.64404000,1246.75820000,2482
5305,142.75686000,1496.08860000,2496
5309,142.78910000,1475.82780000,2500
5311,142.80521000,1318.56600000,2502
5317,142.85356000,2516.50630000,2508
5321,142.88580000,1922.42220000,2512
5325,142.91803000,1418.22990000,2516
5332,142.97444000,1286.71980000,2523
